id. Response_ID,Cluster
8,0
9,0
12,0
17,0
27,0
36,0
37,0
38,0
41,0
44,0
46,0
49,0
53,1
58,0
59,0
60,1
62,0
66,0
67,0
74,0
75,0
81,1
82,0
84,1
87,0
96,0
104,1
105,1
115,0
116,0
118,1
126,0
128,0
132,0
137,0
141,1
145,1
146,1
147,0
150,0
152,0
155,0
158,0
161,1
168,0
174,0
177,0
178,0
185,0
190,0
192,0
194,1
201,1
203,1
205,0
206,1
211,0
217,0
222,0
225,0
229,0
230,0
232,0
235,0
254,1
255,1
262,1
263,0
266,0
268,0
269,0
273,0
278,1
279,0
281,0
284,0
285,1
294,1
301,0
303,0
318,0
321,0
323,0
329,0
333,0
338,0
344,0
348,1
353,0
358,0
361,1
367,0
375,1
384,0
386,0
387,0
388,0
389,1
393,0
398,0
403,0
405,1
407,0
409,0
411,1
416,1
418,0
420,0
424,0
427,0
429,0
431,1
438,0
443,0
444,0
451,0
452,0
453,0
456,1
489,0
491,0
494,0
497,1
500,1
504,1
505,1
506,0
507,1
512,0
524,0
525,1
528,1
529,0
533,1
535,0
537,0
538,0
548,0
557,0
558,1
563,0
565,0
566,0
574,1
577,1
584,0
593,1
594,0
597,0
599,0
601,1
604,0
609,1
610,0
612,0
623,1
626,0
627,1
629,1
630,0
638,1
644,1
649,0
666,1
667,0
668,0
669,1
674,0
