id. Response_ID,ClusterMixedItems,ClusterOriginalItems
8,0,0
9,0,0
12,0,0
17,0,0
27,1,0
36,0,0
37,0,0
38,0,0
41,0,0
44,0,0
46,0,0
49,0,0
53,1,1
58,0,0
59,0,0
60,1,1
62,0,0
66,0,0
67,0,0
74,0,0
75,0,0
81,1,1
82,0,0
84,1,1
87,1,0
96,0,0
104,1,1
105,1,1
115,0,0
116,0,0
118,1,1
126,0,0
128,0,0
132,0,0
137,0,0
141,1,1
145,1,1
146,1,1
147,0,0
150,0,0
152,0,0
155,0,0
158,0,0
161,1,1
168,0,0
174,0,0
177,0,0
178,0,0
185,0,0
190,0,0
192,0,0
194,1,1
201,1,1
203,1,1
205,1,0
206,1,1
211,1,0
217,1,0
222,1,0
225,0,0
229,0,0
230,0,0
232,0,0
235,0,0
254,1,1
255,1,1
262,1,1
263,0,0
266,0,0
268,0,0
269,0,0
273,0,0
278,1,1
279,1,0
281,1,0
284,0,0
285,0,1
294,1,1
301,0,0
303,0,0
318,0,0
321,0,0
323,0,0
329,0,0
333,0,0
338,0,0
344,1,0
348,1,1
353,0,0
358,0,0
361,1,1
367,0,0
375,1,1
384,0,0
386,0,0
387,0,0
388,0,0
389,1,1
393,0,0
398,0,0
403,0,0
405,1,1
407,0,0
409,0,0
411,1,1
416,1,1
418,0,0
420,0,0
424,0,0
427,0,0
429,1,0
431,0,1
438,0,0
443,0,0
444,1,0
451,0,0
452,0,0
453,0,0
456,1,1
489,0,0
491,1,0
494,0,0
497,1,1
500,1,1
504,1,1
505,1,1
506,0,0
507,1,1
512,0,0
524,0,0
525,1,1
528,1,1
529,0,0
533,0,1
535,0,0
537,0,0
538,0,0
548,0,0
557,0,0
558,1,1
563,0,0
565,0,0
566,0,0
574,1,1
577,1,1
584,0,0
593,1,1
594,0,0
597,0,0
599,0,0
601,1,1
604,0,0
609,1,1
610,0,0
612,0,0
623,1,1
626,0,0
627,1,1
629,1,1
630,0,0
638,1,1
644,1,1
649,0,0
666,1,1
667,0,0
668,0,0
669,1,1
674,0,0
